department,type,sub_type
tourism_services,complaint,difficulty_booking_cancellation_complaint
tourism_services,complaint,inadequate_facility_complaint
tourism_services,complaint,misleading_tour_description_complaint
tourism_services,complaint,over_crowded_complaint
tourism_services,complaint,poor_customer_service_complaint
tourism_services,complaint,poor_tour_guide_performance_complaint
tourism_services,complaint,safety_concern_complaint
tourism_services,complaint,unmet_expectation_complaint
tourism_services,query,cancellation_policy_query
tourism_services,query,group_discount_query
tourism_services,query,itinerary_detail_query
tourism_services,query,local_guide_information_query
tourism_services,query,payment_option_query
tourism_services,query,pricing_package_query
tourism_services,query,safety_measure_query
tourism_services,query,special_arrangement_query
tourism_services,query,tour_availability_query
tourism_services,query,transportation_arrangement_query
tourism_services,suggestion,better_communication_suggestion
tourism_services,suggestion,cultural_activity_suggestion
tourism_services,suggestion,dinning_experience_suggestion
tourism_services,suggestion,eco_friendly_suggestion
tourism_services,suggestion,enhanced_safety_protocol_suggestion
tourism_services,suggestion,expanded_package_suggestion
tourism_services,suggestion,flexible_scheduling_suggestion
tourism_services,suggestion,improved_guide_training_suggestion
tourism_services,suggestion,loyalty_reward_suggestion
tourism_services,suggestion,new_tour_offering_suggestion
travel_and_transportation,complaint,cleanliness_hygiene_complaint
travel_and_transportation,complaint,delay_cancellation_complaint
travel_and_transportation,complaint,inaccurate_information_complaint
travel_and_transportation,complaint,lost_damaged_baggage_complaint
travel_and_transportation,complaint,miscommunication_complaint
travel_and_transportation,complaint,onboard_facility_complaint
travel_and_transportation,complaint,overbooking_complaint
travel_and_transportation,complaint,poor_customer_service_complaint
travel_and_transportation,complaint,refund_compensation_complaint
travel_and_transportation,complaint,safety_security_complaint
travel_and_transportation,query,baggage_policy_query
travel_and_transportation,query,booking_reservation_query
travel_and_transportation,query,loyalty_program_query
travel_and_transportation,query,payment_method_query
travel_and_transportation,query,seat_selection_upgrade_query
travel_and_transportation,query,special_assistance_request_query
travel_and_transportation,query,ticket_price_discount_query
travel_and_transportation,query,travel_insurance_query
travel_and_transportation,query,travel_schedule_query
travel_and_transportation,query,visa_passport_query
travel_and_transportation,suggestion,additional_amenity_suggestion
travel_and_transportation,suggestion,check-in_process_suggestion
travel_and_transportation,suggestion,comfortable_seating_suggestion
travel_and_transportation,suggestion,eco-friendly_practice_suggestion
travel_and_transportation,suggestion,enhanced_meal_suggestion
travel_and_transportation,suggestion,improved_customer_service_suggestion
travel_and_transportation,suggestion,loyalty_program_enhancement_suggestion
travel_and_transportation,suggestion,new_routes_destination_suggestion
travel_and_transportation,suggestion,service_improvement_suggestion
